Team,Skill-Gap,num_times_cluster_0,num_times_cluster_1,dominant_cluster,percent_dominant_cluster,sample_size (num_games)
Arsenal,-1,5.0,3.0,0,62.5,8.0
Arsenal,0,3.0,1.0,0,75.0,4.0
Arsenal,1,26.0,0.0,0,100.0,26.0
Leicester City,-1,0.0,12.0,1,100.0,12.0
Leicester City,0,6.0,12.0,1,66.67,18.0
Leicester City,1,6.0,2.0,0,75.0,8.0
Manchester City,-1,0.0,0.0,0,0.0,0.0
Manchester City,0,0.0,0.0,0,0.0,0.0
Manchester City,1,37.0,1.0,0,97.37,38.0
Brighton & Hove Albion,-1,0.0,14.0,1,100.0,14.0
Brighton & Hove Albion,0,7.0,17.0,1,70.83,24.0
Brighton & Hove Albion,1,0.0,0.0,0,0.0,0.0
Chelsea,-1,1.0,3.0,1,75.0,4.0
Chelsea,0,3.0,3.0,0,50.0,6.0
Chelsea,1,28.0,0.0,0,100.0,28.0
Burnley,-1,0.0,10.0,1,100.0,10.0
Burnley,0,2.0,10.0,1,83.33,12.0
Burnley,1,5.0,11.0,1,68.75,16.0
Crystal Palace,-1,1.0,13.0,1,92.86,14.0
Crystal Palace,0,4.0,14.0,1,77.78,18.0
Crystal Palace,1,3.0,3.0,0,50.0,6.0
Huddersfield Town,-1,3.0,15.0,1,83.33,18.0
Huddersfield Town,0,7.0,13.0,1,65.0,20.0
Huddersfield Town,1,0.0,0.0,0,0.0,0.0
Everton,-1,0.0,12.0,1,100.0,12.0
Everton,0,3.0,13.0,1,81.25,16.0
Everton,1,3.0,7.0,1,70.0,10.0
Stoke City,-1,1.0,23.0,1,95.83,24.0
Stoke City,0,4.0,10.0,1,71.43,14.0
Stoke City,1,0.0,0.0,0,0.0,0.0
Manchester United,-1,0.0,2.0,1,100.0,2.0
Manchester United,0,0.0,4.0,1,100.0,4.0
Manchester United,1,25.0,7.0,0,78.12,32.0
West Ham United,-1,0.0,14.0,1,100.0,14.0
West Ham United,0,8.0,14.0,1,63.64,22.0
West Ham United,1,2.0,0.0,0,100.0,2.0
Newcastle United,-1,1.0,13.0,1,92.86,14.0
Newcastle United,0,5.0,13.0,1,72.22,18.0
Newcastle United,1,1.0,5.0,1,83.33,6.0
Tottenham Hotspur,-1,0.0,2.0,1,100.0,2.0
Tottenham Hotspur,0,5.0,1.0,0,83.33,6.0
Tottenham Hotspur,1,27.0,3.0,0,90.0,30.0
Southampton,-1,4.0,14.0,1,77.78,18.0
Southampton,0,13.0,7.0,0,65.0,20.0
Southampton,1,0.0,0.0,0,0.0,0.0
Swansea City,-1,8.0,16.0,1,66.67,24.0
Swansea City,0,5.0,9.0,1,64.29,14.0
Swansea City,1,0.0,0.0,0,0.0,0.0
Liverpool,-1,0.0,2.0,1,100.0,2.0
Liverpool,0,5.0,1.0,0,83.33,6.0
Liverpool,1,27.0,3.0,0,90.0,30.0
Watford,-1,2.0,12.0,1,85.71,14.0
Watford,0,4.0,20.0,1,83.33,24.0
Watford,1,0.0,0.0,0,0.0,0.0
West Bromwich Albion,-1,1.0,27.0,1,96.43,28.0
West Bromwich Albion,0,2.0,8.0,1,80.0,10.0
West Bromwich Albion,1,0.0,0.0,0,0.0,0.0
AFC Bournemouth,-1,2.0,12.0,1,85.71,14.0
